,Zip,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
66,27699,35.7977,-78.6253,Midtown Park at North Hills,35.836381128154414,-78.63665089355293,Music Venue
67,27699,35.7977,-78.6253,World of Beer,35.836902001511895,-78.6395299473235,Music Venue
68,27699,35.7977,-78.6253,Meymandi Concert Hall,35.77096719767873,-78.63999107498213,Concert Hall
69,27699,35.7977,-78.6253,The Ritz,35.81618324368854,-78.62046054243106,Music Venue
70,27699,35.7977,-78.6253,Slim's Downtown Distillery,35.77731781812501,-78.63824742174637,Rock Club
71,27699,35.7977,-78.6253,Fayetteville Street,35.7795897,-78.6381787,Music Venue
72,27699,35.7977,-78.6253,Edenton St. Live Fine Arts Series,35.781766,-78.6426,Music Venue
73,27699,35.7977,-78.6253,PLUS Dueling Piano Bar,35.787132,-78.6467443,Music Venue
74,27699,35.7977,-78.6253,Long View Center - Event Space,35.77840073955551,-78.6351869962506,Event Space
75,27699,35.7977,-78.6253,Band Together,35.77385330200195,-78.63741302490234,Music Venue
76,27699,35.7977,-78.6253,Helping Hand Mission,35.771677000000004,-78.620416,Music Venue
77,27699,35.7977,-78.6253,Tin Roof,35.78427,-78.6471093,Music Venue
78,27699,35.7977,-78.6253,In The Groove Records,35.78136157737645,-78.6474839747541,Music Venue
79,27699,35.7977,-78.6253,The Wicked Witch,35.772546999999996,-78.646124,Music Venue
80,27699,35.7977,-78.6253,Midtown Park,35.83636398429817,-78.63706164797998,Music Venue
81,27699,35.7977,-78.6253,North Hills Beach Music,35.83682059419752,-78.64273006547685,Music Venue
82,27699,35.7977,-78.6253,Pack House Pub,35.788019412546575,-78.66913579387129,Bar
83,27699,35.7977,-78.6253,Voice Lessons,35.83021622514902,-78.65567258043687,Music Venue
84,27699,35.7977,-78.6253,The Ruby Red,35.78973809855687,-78.64456195545674,Rock Club
85,27519,35.8072,-78.887,The Piano Man,35.8006207,-78.87230850000003,Music Venue
86,27519,35.8072,-78.887,Championship Vinyl,35.81574257473694,-78.90822887420654,Music Venue
87,27519,35.8072,-78.887,Triangle Area DJ Services,35.81386184692383,-78.83423614501953,Music Venue
88,27519,35.8072,-78.887,Burton's Music School,35.764713009352036,-78.87604560992435,Music Venue
89,27519,35.8072,-78.887,Spangler Rehearsal Center,35.792875265827654,-78.86767069179632,Rock Club
90,27526,35.58,-78.7908,The Music Lounge,35.57617826870781,-78.80820752911133,Music Venue
91,27619,35.8515,-78.6314,Midtown Park at North Hills,35.836381128154414,-78.63665089355293,Music Venue
92,27619,35.8515,-78.6314,World of Beer,35.836902001511895,-78.6395299473235,Music Venue
93,27619,35.8515,-78.6314,North Raleigh Arts and Creative Theatre (NRACT),35.886555914946584,-78.6602515231047,Theater
94,27619,35.8515,-78.6314,The Ritz,35.81618324368854,-78.62046054243106,Music Venue
95,27619,35.8515,-78.6314,Midtown Park,35.83636398429817,-78.63706164797998,Music Venue
96,27619,35.8515,-78.6314,North Hills Beach Music,35.83682059419752,-78.64273006547685,Music Venue
97,27619,35.8515,-78.6314,Voice Lessons,35.83021622514902,-78.65567258043687,Music Venue
98,27619,35.8515,-78.6314,Sound Write Entertaiment Office,35.86996841430664,-78.58556365966797,Music Venue
99,27627,35.7977,-78.6253,Lincoln Theatre,35.773862362268666,-78.637472206323,Music Venue
100,27627,35.7977,-78.6253,Kings,35.776929348869245,-78.6397994738686,Music Venue
101,27627,35.7977,-78.6253,The Pour House Music Hall,35.777169134300486,-78.63681234972837,Music Venue
102,27627,35.7977,-78.6253,Red Hat Amphitheater,35.77370728783636,-78.64256537435926,Music Venue
103,27627,35.7977,-78.6253,The Architect Bar & Social House,35.778108610242164,-78.63791356282759,Bar
104,27627,35.7977,-78.6253,Amplified Art,35.776144727709024,-78.63578867137181,Music Venue
105,27627,35.7977,-78.6253,Midtown Park at North Hills,35.836381128154414,-78.63665089355293,Music Venue
106,27627,35.7977,-78.6253,World of Beer,35.836902001511895,-78.6395299473235,Music Venue
107,27627,35.7977,-78.6253,Meymandi Concert Hall,35.77096719767873,-78.63999107498213,Concert Hall
108,27627,35.7977,-78.6253,The Ritz,35.81618324368854,-78.62046054243106,Music Venue
109,27627,35.7977,-78.6253,Slim's Downtown Distillery,35.77731781812501,-78.63824742174637,Rock Club
110,27627,35.7977,-78.6253,Fayetteville Street,35.7795897,-78.6381787,Music Venue
111,27627,35.7977,-78.6253,Edenton St. Live Fine Arts Series,35.781766,-78.6426,Music Venue
112,27627,35.7977,-78.6253,PLUS Dueling Piano Bar,35.787132,-78.6467443,Music Venue
113,27627,35.7977,-78.6253,Long View Center - Event Space,35.77840073955551,-78.6351869962506,Event Space
114,27627,35.7977,-78.6253,Band Together,35.77385330200195,-78.63741302490234,Music Venue
115,27627,35.7977,-78.6253,Helping Hand Mission,35.771677000000004,-78.620416,Music Venue
116,27627,35.7977,-78.6253,Tin Roof,35.78427,-78.6471093,Music Venue
117,27627,35.7977,-78.6253,In The Groove Records,35.78136157737645,-78.6474839747541,Music Venue
118,27627,35.7977,-78.6253,The Wicked Witch,35.772546999999996,-78.646124,Music Venue
